problema_id,titulo,autor,url,enunciado,nivel,num_resolvidos,num_fks_entrada,entrada_tem_ddl_avancado,enunciado_num_sentencas,enunciado_riqueza_lexica,num_conceitos_total,faixa_conceitual,conceito_primario,conceitos_lista,usa_where,usa_order_by,usa_distinct,usa_like,usa_in,usa_between,usa_agregacao,usa_join,usa_group_by,usa_having,usa_subconsulta,usa_subconsulta_correlacionada,usa_union,usa_case,usa_funcao_data,usa_tratamento_null,usa_cast,usa_recursao,usa_funcao_janela,usa_pivot,usa_funcao_string,sql_entrada,sql_saida,complexidade_tecnica,discrepancia_nivel_complexidade,cluster_k2,cluster_k3
2602,Select Básico,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2602,"Sua empresa está fazendo um levantamento de quantos clientes estão cadastrados nos estados, porém, faltou levantar os dados do estado do Rio Grande do Sul. Então você deve Exibir o nome de todos os clientes cujo estado seja ‘RS’.",4,41417,0,0,2,0.846,1,Básico,WHERE,WHERE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2602

CREATE TABLE customers (
  id NUMERIC PRIMARY KEY,
  name CHARACTER VARYING (255),
  street CHARACTER VARYING (255),
  city CHARACTER VARYING (255),
  state CHAR (2),
  credit_limit NUMERIC
);

INSERT INTO customers (id, name, street, city, state, credit_limit)
VALUES 
  (1,	'Pedro Augusto da Rocha',	'Rua Pedro Carlos Hoffman',	'Porto Alegre',	'RS',	700.00),
  (2,	'Antonio Carlos Mamel',	'Av. Pinheiros', 'Belo Horizonte',	'MG',	3500.50),
  (3,	'Luiza Augusta Mhor',	'Rua Salto Grande',	'Niteroi',	'RJ',	4000.00),	
  (4,	'Jane Ester',	'Av 7 de setembro',	'Erechim',	'RS',	800.00),
  (5, 'Marcos Antônio dos Santos',	'Av Farrapos',	'Porto Alegre',	'RS',	4250.25);

  
  /*  Execute this query to drop the tables */
  -- DROP TABLE customers; --",SELECT name from customers where state= 'RS';,1.5,1.169,0,0
2603,Endereço dos Clientes,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2603,"A empresa fará um evento comemorando os 20 anos de mercado, e para isso faremos uma grande comemoração na cidade de Porto Alegre. Queremos também convidar todos os nossos clientes que estão cadastrados nessa cidade.O seu trabalho é nos passar os nomes e os endereços dos clientes que moram em 'Porto Alegre', para entregar os convites pessoalmente.",1,36554,0,0,3,0.793,1,Básico,WHERE,WHERE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2603

CREATE TABLE customers (
  id NUMERIC PRIMARY KEY,
  name CHARACTER VARYING (255),
  street CHARACTER VARYING (255),
  city CHARACTER VARYING (255),
  state CHAR (2),
  credit_limit NUMERIC
);

INSERT INTO customers (id, name, street, city, state, credit_limit)
VALUES
  (1,	'Pedro Augusto da Rocha',	'Rua Pedro Carlos Hoffman',	'Porto Alegre',	'RS',	700.00),
  (2,	'Antonio Carlos Mamel',	'Av. Pinheiros',	'Belo Horizonte',	'MG',	3500.50),	
  (3,	'Luiza Augusta Mhor,',	'Rua Salto Grande',	'Niteroi',	'RJ',	4000.00),
  (4,	'Jane Ester',	'Av 7 de setembro',	'Erechim',	'RS',	800.00),
  (5,	'Marcos Antônio dos Santos',	'Av Farrapos',	'Porto Alegre',	'RS',	4250.25);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE customers; --","SELECT name,street from customers where city = 'Porto Alegre';",1.5,-0.289,0,0
2604,Menores que 10 ou Maiores que 100,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2604,O setor financeiro da empresa precisa de um relatório que mostre o código e o nome dos produtos cujo preço são menores que 10 ou maiores que 100.,2,32834,0,0,1,0.857,1,Básico,WHERE,WHERE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2604

CREATE TABLE products (
  id NUMERIC PRIMARY KEY,
  name CHARACTER VARYING (255),
  amount NUMERIC,
  price NUMERIC
);

INSERT INTO products (id, name, amount, price)
VALUES 
  (1,	'Two-door wardrobe',	100,	80),
  (2,	'Dining table',	1000,	560),
  (3,	'Towel holder',	10000,	5.50),
  (4,	'Computer desk',	350,	100),
  (5,	'Chair',	3000,	210.64),
  (6,	'Single bed',	750,	99);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE products; --","SELECT id,name FROM products where price < 10 or price > 100;",1.5,0.197,0,0
2605,Representantes Executivos,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2605,"O setor financeiro precisa de um relatório sobre os fornecedores dos produtos que vendemos. Os relatórios contemplam todas as categorias, mas por algum motivo, os fornecedores dos produtos cuja categoria é a executiva, não estão no relatório.

Seu trabalho é retornar os nomes dos produtos e dos fornecedores cujo código da categoria é 6.",4,25357,2,1,3,0.741,2,Intermediário,JOIN,"WHERE, JOIN",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2605

CREATE TABLE categories (
  id numeric PRIMARY KEY,
  name varchar
);

CREATE TABLE providers (
  id numeric PRIMARY KEY,
  name varchar(50),
  street varchar(50),
  city varchar(50),
  state varchar(2)
);

CREATE TABLE products (
  id numeric PRIMARY KEY,
  name varchar(50),
  amount numeric,
  price numeric(7,2),
  id_providers numeric REFERENCES providers (id),
  id_categories numeric REFERENCES categories (id)
);


INSERT INTO categories (id , name)
VALUES 
  (1,	'old stock'),
  (2,	'new stock'),
  (3,	'modern'),
  (4,	'commercial'),
  (5,	'recyclable'),
  (6,	'executive'),
  (7,	'superior'),
  (8,	'wood'),
  (9,	'super luxury'),
  (10,	'vintage');
  
INSERT INTO providers (id, name, street, city, state)
VALUES 
  (1,	'Henrique'	,'Av Brasil',	'Rio de Janeiro',	'RJ'),
  (2,	'Marcelo Augusto',	'Rua Imigrantes',	'Belo Horizonte',	'MG'),
  (3,	'Caroline Silva', 'Av São Paulo',	'Salvador',	'BA'),
  (4,	'Guilerme Staff',	'Rua Central',	'Porto Alegre',	'RS'),
	(5,	'Isabela Moraes',	'Av Juiz Grande',	'Curitiba',	'PR'),
  (6,	'Francisco Accerr',	'Av Paulista',	'São Paulo',	'SP');
  
INSERT INTO products (id, name, amount, price, id_providers, id_categories)
VALUES
  (1,	'Two-door wardrobe',	100,	800,	6,	8),
  (2,	'Dining table',	1000,	560,	1,	9),	
  (3,	'Towel holder',	10000,	25.50,	5,	1),
  (4,	'Computer desk',	350,	320.50,	4,	6),
  (5,	'Chair',	3000,	210.64,	3,	6),
  (6,	'Single bed',	750,	460,	1,	2);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE products, providers, categories; --","SELECT products.name, providers.name
  from products inner join providers
  on products.id_providers= providers.id
  where id_categories = 6;",5.5,0.191,0,0
2606,Categorias,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2606,"Quando os dados foram migrados de Banco de Dados, houve um pequeno mal-entendido por parte do antigo DBA.

Seu chefe precisa que você exiba o código e o nome dos produtos, cuja categoria inicie com 'super'.",3,22877,1,0,2,0.919,4,Intermediário,JOIN,"WHERE, LIKE, JOIN, Função de string",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2606

CREATE TABLE categories (
  id numeric PRIMARY KEY,
  name varchar
);

CREATE TABLE products (
  id numeric PRIMARY KEY,
  name varchar(50),
  amount numeric,
  price numeric(7,2),
  id_categories numeric REFERENCES categories (id)
);


INSERT INTO categories (id, name)
VALUES 
  (1,	'old stock'),
  (2,	'new stock'),
  (3,	'modern'),
  (4,	'commercial'),
  (5,	'recyclable'),
  (6,	'executive'),
  (7,	'superior'),
  (8,	'wood'),
  (9,	'super luxury'),
  (10,	'vintage');
  
INSERT INTO products (id , name, amount, price, id_categories)
VALUES
  (1,	'Lampshade',	100,	800,	4),
  (2,	'Table for painting',	1000,	560,	9),
  (3,	'Notebook desk',	10000,	25.50,	9),
  (4,	'Computer desk',	350,	320.50,	6),
  (5,	'Chair',	'3000',	'210.64',	9),	
  (6,	'Home alarm',	750,	460,	4);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE products, categories; --","SELECT products.id, products.name
FROM products 
INNER JOIN categories 
ON products.id_categories = categories.id
WHERE lower(categories.name) LIKE 'super%';",5.5,-0.295,0,0
2607,Cidades em Ordem Alfabética,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2607,"Todos os meses a empresa pede um relatório das cidades que os fornecedores estão cadastrados. Dessa vez não vai ser diferente, faça uma consulta no Banco de Dados que retorne todas as cidades dos fornecedores, mas em ordem alfabética.

OBS: Você não deve mostrar cidades repetidas.",1,25838,0,1,3,0.87,1,Básico,ORDER BY,ORDER BY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2607

CREATE TABLE providers (
  id numeric PRIMARY KEY,
  name varchar(50),
  street varchar(50),
  city varchar(50),
  state varchar(2)
);

INSERT INTO providers (id, name, street, city, state)
VALUES 
  (1,	'Henrique',	'Av Brasil',	'Rio de Janeiro',	'RJ'),
  (2,	'Marcelo Augusto',	'Rua Imigrantes',	'Belo Horizonte',	'MG'),
  (3,	'Caroline Silva',	'Av São Paulo',	'Salvador',	'BA'),
  (4,	'Guilerme Staff',	'Rua Central',	'Porto Alegre',	'RS'),
  (5,	'Isabela Moraes',	'Av Juiz Grande',	'Curitiba',	'PR'),
  (6,	'Francisco Accerr',	'Av Paulista',	'São Paulo',	'SP');
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE providers; --",SELECT city FROM providers ORDER by city asc;,2.5,-0.533,0,0
2608,Maior e Menor Preço,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2608,"O setor financeiro da nossa empresa, está querendo saber os menores e maiores valores dos produtos, que vendemos.

Para isso exiba somente o maior e o menor preço da tabela produtos.",1,22920,0,0,2,0.839,1,Básico,Agregação,Agregação,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREATE TABLE products (
  id numeric PRIMARY KEY,
  name varchar(50),
  amount numeric,
  price numeric(7,2)
);

INSERT INTO products (id, name, amount, price)
VALUES
  (1,	'Two-doors wardrobe',	100,	800),
  (2,	'Dining table',	1000,	560),
  (3,	'Towel holder',	10000,	25.50),
  (4,	'Computer desk',	350,	320.50),
  (5,	'Chair',	3000,	210.64),
  (6,	'Single bed',	750,	460);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE products; --","SELECT Max(price), min (price) from products;",1.5,-0.289,0,0
2609,Produtos por Categorias,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2609,"Como de costume o setor de vendas está fazendo uma análise de quantos produtos temos em estoque, e você poderá ajudar eles.

Então seu trabalho será exibir o nome e a quantidade de produtos de cada uma categoria.",6,21138,1,0,2,0.789,3,Intermediário,JOIN,"Agregação, JOIN, GROUP BY",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2609

CREATE TABLE categories (
  id numeric PRIMARY KEY,
  name varchar
);

CREATE TABLE products (
  id numeric PRIMARY KEY,
  name varchar(50),
  amount numeric,
  price numeric(7,2),
  id_categories numeric REFERENCES categories (id)
);

INSERT INTO categories (id, name)
VALUES 
  (1,	'wood'),
  (2,	'luxury'),
  (3,	'vintage'),
  (4,	'modern'),
  (5,	'super luxury');
  
INSERT INTO products (id, name, amount, price, id_categories)
VALUES 
  (1,	'Two-doors wardrobe', 100,	800,	1),
  (2,	'Dining table',	1000,	560,	3),
  (3,	'Towel holder',	10000,	25.50,	4),
  (4,	'Computer desk',	350,	320.50,	2),
  (5,	'Chair',	3000,	210.64,	4),
  (6,	'Single bed',	750,	460,	1);
  
  /*  Execute this query to drop the tables */
  -- DROP TABLE categories,products; --","SELECT categories.name, SUM(products.amount)
FROM products 
INNER JOIN categories 
ON products.id_categories = categories.id
GROUP BY categories.name;",4.5,1.408,0,0
2610,Valor Médio dos Produtos,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2610,"Na empresa que você trabalha está sendo feito um levantamento sobre os valores dos produtos que são comercializados.

Para ajudar o setor que está fazendo esse levantamento você deve calcular e exibir o valor médio do preço dos produtos.

OBS: Mostrar o valor com dois números após o ponto.",3,17812,0,0,3,0.776,1,Básico,Agregação,Agregação,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2610

CREATE TABLE products (
    id NUMERIC PRIMARY KEY,
    name VARCHAR,
    amount NUMERIC,
    price NUMERIC
);

INSERT INTO products (id, name, amount, price)
VALUES
    (1, 'Two-doors wardrobe', 100, 800),
    (2, 'Dining table', 1000, 560),
    (3, 'Towel holder', 10000, 25.50),
    (4, 'Computer desk', 350, 320.50),
    (5, 'Chair', 3000, 210.64),
    (6, 'Single bed', 750, 460);

 /*  Execute this query to drop the tables */
 -- DROP TABLE products; --","SELECT round(avg(price),2) from products ;",1.5,0.683,0,0
2611,Filmes de Ação,Paulo R. Rodegheri,https://judge.beecrowd.com/pt/problems/view/2611,Uma Vídeo locadora contratou seus serviços para catalogar os filmes dela. Eles precisam que você selecione o código e o nome dos filmes cuja descrição do gênero seja 'Action'.,4,18275,1,0,2,0.931,2,Intermediário,JOIN,"WHERE, JOIN",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"--- URI Online Judge SQL
--- Copyright URI Online Judge
--- www.urionlinejudge.com.br
--- Problem 2611

CREATE TABLE genres (
  id numeric PRIMARY KEY,
  description varchar(50)
);

CREATE TABLE movies (
  id numeric PRIMARY KEY,
  name varchar(50),
  id_genres numeric REFERENCES genres (id)
);

INSERT INTO genres (id, description)
VALUES
  (1,	'Animation'),
  (2,	'Horror'),
  (3,	'Action'),
  (4,	'Drama'),
  (5,	'Comedy');
  
INSERT INTO movies (id, name, id_genres)
VALUES
  (1,	'Batman',	3),
  (2,	'The Battle of the Dark River',	3),
  (3,	'White Duck',	1),
  (4,	'Breaking Barriers',	4),
  (5,	'The Two Hours',	2);

/*  Execute this query to drop the tables */
-- DROP TABLE movies, genres; --","SELECT movies.id,movies.name FROM
movies inner JOIN genres
on movies.id_genres = genres.id
WHERE genres.description = 'Action';",3.5,0.68,0,0
